                                      List of relations
 Schema |                              Name                               | Type  |  Owner
--------+-----------------------------------------------------------------+-------+----------
 public | IssueSlik_sheet10                                               | table | postgres
 public | IssueSlik_sheet13                                               | table | postgres
 public | IssueSlik_sheet9                                                | table | postgres
 public | Mapping_city_code                                               | table | postgres
 public | NominatifHapusBuku_Agus2022                                     | table | postgres
 public | NominatifHapusBuku_Jul2022                                      | table | postgres
 public | NominatifHapusBuku_Jun2022                                      | table | postgres
 public | NominatifHapusBuku_Okt2022                                      | table | postgres
 public | NominatifHapusBuku_Sept2022                                     | table | postgres
 public | adj_20220731_adj_balance                                        | table | postgres
 public | adj_20220731_clawback                                           | table | postgres
 public | adj_acct                                                        | table | postgres
 public | adj_max_col_2022_07                                             | table | postgres
 public | all_db_cif                                                      | table | postgres
 public | all_db_cif_depo                                                 | table | postgres
 public | all_db_cif_grp                                                  | table | postgres
 public | all_db_cif_grp_temp                                             | table | postgres
 public | all_db_cif_grp_v2                                               | table | postgres
 public | auditnotes_mvckpn_data_join                                     | table | postgres
 public | auditnotes_mvckpn_data_month                                    | table | postgres
 public | auditnotes_mvckpn_data_month_prev                               | table | postgres
 public | b202206_sekom                                                   | table | postgres
 public | backup_debtor_port_ctgy_mk_20230331                             | table | postgres
 public | backup_mk_diskon_data_mkdbmonthly2_202201                       | table | postgres
 public | backup_mk_diskon_data_mkdbmonthly2_202202                       | table | postgres
 public | backup_mk_diskon_data_mkdbmonthly2_202203                       | table | postgres
 public | backup_mk_diskon_data_mkdbmonthly2_202204                       | table | postgres
 public | backup_mk_diskon_data_mkdbmonthly2_202205                       | table | postgres
 public | backup_mk_diskon_data_mkdbmonthly2_202206                       | table | postgres
 public | backup_mk_diskon_data_mkdbmonthly2_202207                       | table | postgres
 public | backup_mk_diskon_data_mkdbmonthly2_202208                       | table | postgres
 public | backup_mk_diskon_data_mkdbmonthly2_202209                       | table | postgres
 public | backup_mk_diskon_data_mkdbmonthly2_202210                       | table | postgres
 public | backup_mk_diskon_data_mkdbmonthly2_202211                       | table | postgres
 public | backup_mk_diskon_data_mkdbmonthly2_202212                       | table | postgres
