,0
0,"ARIMA(0, 0, 0) x (0, 0, 0, 0) 12 - AIC:306.661116425792 - p-value:sigma2    4.752082e-18
dtype: float64"
1,"ARIMA(0, 0, 1) x (0, 0, 0, 0) 12 - AIC:232.20834454751542 - p-value:ma.L1     8.973940e-54
sigma2    2.837677e-21
dtype: float64"
2,"ARIMA(0, 0, 2) x (0, 0, 0, 0) 12 - AIC:200.43140710965505 - p-value:ma.L1     2.955982e-73
ma.L2     4.747330e-15
sigma2    5.474125e-18
dtype: float64"
3,"ARIMA(0, 0, 3) x (0, 0, 0, 0) 12 - AIC:187.00288800787308 - p-value:ma.L1     4.987242e-12
ma.L2     3.063222e-09
ma.L3     5.104868e-10
sigma2    7.205208e-04
dtype: float64"
4,"ARIMA(0, 1, 0) x (0, 0, 0, 0) 12 - AIC:193.26013775444775 - p-value:sigma2    4.260772e-38
dtype: float64"
5,"ARIMA(0, 1, 1) x (0, 0, 0, 0) 12 - AIC:185.11058231424389 - p-value:ma.L1     4.787348e-09
sigma2    1.617573e-35
dtype: float64"
6,"ARIMA(0, 1, 2) x (0, 0, 0, 0) 12 - AIC:184.53190171817988 - p-value:ma.L1     1.726454e-04
ma.L2     4.138254e-01
sigma2    1.370350e-26
dtype: float64"
7,"ARIMA(0, 1, 3) x (0, 0, 0, 0) 12 - AIC:176.36573878246384 - p-value:ma.L1     3.202892e-05
ma.L2     4.617880e-02
ma.L3     2.387257e-01
sigma2    4.568764e-27
dtype: float64"
8,"ARIMA(0, 2, 0) x (0, 0, 0, 0) 12 - AIC:221.46885312482658 - p-value:sigma2    5.556722e-74
dtype: float64"
9,"ARIMA(0, 2, 1) x (0, 0, 0, 0) 12 - AIC:195.92780627488173 - p-value:ma.L1     0.998901
sigma2    0.998901
dtype: float64"
10,"ARIMA(0, 2, 2) x (0, 0, 0, 0) 12 - AIC:184.60439511233687 - p-value:ma.L1     0.999781
ma.L2     0.999660
sigma2    0.999660
dtype: float64"
11,"ARIMA(0, 2, 3) x (0, 0, 0, 0) 12 - AIC:183.6233296730014 - p-value:ma.L1     0.999740
ma.L2     0.999541
ma.L3     0.999596
sigma2    0.999596
dtype: float64"
12,"ARIMA(0, 3, 0) x (0, 0, 0, 0) 12 - AIC:289.23881845099146 - p-value:sigma2    5.522186e-48
dtype: float64"
13,"ARIMA(0, 3, 1) x (0, 0, 0, 0) 12 - AIC:221.79487364216587 - p-value:ma.L1     0.999347
sigma2    0.999347
dtype: float64"
14,"ARIMA(0, 3, 2) x (0, 0, 0, 0) 12 - AIC:199.63094154261753 - p-value:ma.L1     0.999062
ma.L2     0.999531
sigma2    0.999531
dtype: float64"
15,"ARIMA(0, 3, 3) x (0, 0, 0, 0) 12 - AIC:187.51264463328005 - p-value:ma.L1     0.998711
ma.L2     0.999651
ma.L3     0.999215
sigma2    0.999215
dtype: float64"
16,"ARIMA(1, 0, 0) x (0, 0, 0, 0) 12 - AIC:191.5803924926038 - p-value:ar.L1     2.579098e-82
sigma2    1.645463e-43
dtype: float64"
17,"ARIMA(1, 0, 1) x (0, 0, 0, 0) 12 - AIC:180.1733973235522 - p-value:ar.L1     4.851899e-29
ma.L1     5.911101e-05
sigma2    4.194332e-23
dtype: float64"
18,"ARIMA(1, 0, 2) x (0, 0, 0, 0) 12 - AIC:180.73825100004248 - p-value:ar.L1     4.604140e-10
ma.L1     5.625280e-04
ma.L2     6.998381e-01
sigma2    2.433026e-21
dtype: float64"
19,"ARIMA(1, 0, 3) x (0, 0, 0, 0) 12 - AIC:181.43463340289827 - p-value:ar.L1     1.921413e-09
ma.L1     3.900705e-04
ma.L2     8.410968e-01
ma.L3     7.670503e-01
sigma2    1.021877e-20
dtype: float64"
20,"ARIMA(1, 1, 0) x (0, 0, 0, 0) 12 - AIC:189.01863018490155 - p-value:ar.L1     1.960345e-11
sigma2    1.823207e-35
dtype: float64"
21,"ARIMA(1, 1, 1) x (0, 0, 0, 0) 12 - AIC:186.95163401866543 - p-value:ar.L1     7.214538e-01
ma.L1     1.747849e-01
sigma2    1.981713e-28
dtype: float64"
22,"ARIMA(1, 1, 2) x (0, 0, 0, 0) 12 - AIC:181.09471167178842 - p-value:ar.L1     9.828196e-22
ma.L1     9.995153e-01
ma.L2     9.991340e-01
sigma2    9.991340e-01
dtype: float64"
23,"ARIMA(1, 1, 3) x (0, 0, 0, 0) 12 - AIC:178.3433164745053 - p-value:ar.L1     9.371315e-01
ma.L1     8.104971e-01
ma.L2     4.177733e-01
ma.L3     3.329598e-01
sigma2    1.395884e-26
dtype: float64"
24,"ARIMA(1, 2, 0) x (0, 0, 0, 0) 12 - AIC:219.4724519312561 - p-value:ar.L1     1.288183e-01
sigma2    2.006179e-45
dtype: float64"
25,"ARIMA(1, 2, 1) x (0, 0, 0, 0) 12 - AIC:191.85453731972132 - p-value:ar.L1     0.000003
ma.L1     0.999223
sigma2    0.999223
dtype: float64"
26,"ARIMA(1, 2, 2) x (0, 0, 0, 0) 12 - AIC:186.41618917959727 - p-value:ar.L1     0.699145
ma.L1     0.999700
ma.L2     0.999464
sigma2    0.999464
dtype: float64"
27,"ARIMA(1, 2, 3) x (0, 0, 0, 0) 12 - AIC:185.24463887460323 - p-value:ar.L1     0.596612
ma.L1     0.999939
ma.L2     0.999633
ma.L3     0.999524
sigma2    0.999524
dtype: float64"
28,"ARIMA(1, 3, 0) x (0, 0, 0, 0) 12 - AIC:270.94803484408754 - p-value:ar.L1     4.494498e-22
sigma2    7.921887e-52
dtype: float64"
29,"ARIMA(1, 3, 1) x (0, 0, 0, 0) 12 - AIC:220.95286102922668 - p-value:ar.L1     0.163066
ma.L1     0.999360
sigma2    0.999360
dtype: float64"
30,"ARIMA(1, 3, 2) x (0, 0, 0, 0) 12 - AIC:218.53483664569103 - p-value:ar.L1     8.229849e-53
ma.L1     1.000000e+00
ma.L2     9.999379e-01
sigma2    9.999379e-01
dtype: float64"
31,"ARIMA(1, 3, 3) x (0, 0, 0, 0) 12 - AIC:189.43949972062347 - p-value:ar.L1     0.855119
ma.L1     0.997546
ma.L2     0.999525
ma.L3     0.998456
sigma2    0.998456
dtype: float64"
32,"ARIMA(2, 0, 0) x (0, 0, 0, 0) 12 - AIC:181.05547746663797 - p-value:ar.L1     2.543466e-191
ar.L2      1.978840e-07
sigma2     1.356282e-23
dtype: float64"
33,"ARIMA(2, 0, 1) x (0, 0, 0, 0) 12 - AIC:181.8549229786841 - p-value:ar.L1     1.153734e-04
ar.L2     5.832079e-01
ma.L1     2.829606e-01
sigma2    6.960785e-22
dtype: float64"
34,"ARIMA(2, 0, 2) x (0, 0, 0, 0) 12 - AIC:181.8921915146662 - p-value:ar.L1     3.588532e-05
ar.L2     7.309936e-02
ma.L1     5.711418e-01
ma.L2     1.635538e-01
sigma2    3.213502e-22
dtype: float64"
35,"ARIMA(2, 0, 3) x (0, 0, 0, 0) 12 - AIC:181.78473979854033 - p-value:ar.L1     0.519224
ar.L2     0.000011
ma.L1     0.989353
ma.L2     0.989973
ma.L3     0.992407
sigma2    0.992400
dtype: float64"
36,"ARIMA(2, 1, 0) x (0, 0, 0, 0) 12 - AIC:185.6922107712091 - p-value:ar.L1     6.129988e-05
ar.L2     7.749813e-02
sigma2    9.420678e-31
dtype: float64"
37,"ARIMA(2, 1, 1) x (0, 0, 0, 0) 12 - AIC:185.9313323603645 - p-value:ar.L1     9.061444e-05
ar.L2     3.975469e-03
ma.L1     1.464057e-02
sigma2    4.029882e-23
dtype: float64"
38,"ARIMA(2, 1, 2) x (0, 0, 0, 0) 12 - AIC:182.5578161909505 - p-value:ar.L1     0.000202
ar.L2     0.525196
ma.L1     0.999634
ma.L2     0.999483
sigma2    0.999483
dtype: float64"
39,"ARIMA(2, 1, 3) x (0, 0, 0, 0) 12 - AIC:164.3555516883659 - p-value:ar.L1     3.388046e-112
ar.L2      8.354990e-78
ma.L1      9.965755e-01
ma.L2      9.986167e-01
ma.L3      9.978426e-01
sigma2     9.978427e-01
dtype: float64"
40,"ARIMA(2, 2, 0) x (0, 0, 0, 0) 12 - AIC:209.95134580390226 - p-value:ar.L1     2.646028e-02
ar.L2     7.774325e-04
sigma2    3.349340e-26
dtype: float64"
41,"ARIMA(2, 2, 1) x (0, 0, 0, 0) 12 - AIC:190.77687819506545 - p-value:ar.L1     0.000571
ar.L2     0.058708
ma.L1     0.999206
sigma2    0.999206
dtype: float64"
42,"ARIMA(2, 2, 2) x (0, 0, 0, 0) 12 - AIC:188.4161270491503 - p-value:ar.L1     0.703736
ar.L2     0.999882
ma.L1     0.998980
ma.L2     0.998176
sigma2    0.998176
dtype: float64"
43,"ARIMA(2, 2, 3) x (0, 0, 0, 0) 12 - AIC:186.28348140821913 - p-value:ar.L1     0.615197
ar.L2     0.539616
ma.L1     0.999950
ma.L2     0.999710
ma.L3     0.999510
sigma2    0.999510
dtype: float64"
