,predicted_mean
2022-10-31,0.058539123669299364
2022-11-30,-0.13153000131529136
2022-12-30,-0.271379345180997
2023-01-31,-0.3742779036988729
2023-02-28,-0.44998875833988056
2023-03-31,-0.5056954037296308
2023-04-28,-0.5466833222426861
2023-05-31,-0.5768414739726765
2023-06-30,-0.59903128376942
2023-07-31,-0.6153581350706557
2023-08-31,-0.6273711300379123
2023-09-29,-0.6362100693667962
2023-10-31,-0.6427135973107135
2023-11-30,-0.6474987727874927
2023-12-29,-0.6510196163267264
2024-01-31,-0.6536101878298866
2024-02-29,-0.6555162823888188
2024-03-29,-0.6569187514822828
2024-04-30,-0.6579506622806769
2024-05-31,-0.6587099231448231
2024-06-28,-0.6592685732342702
2024-07-31,-0.6596796176291241
2024-08-30,-0.6599820564861696
2024-09-30,-0.660204585398852
2024-10-31,-0.6603683180536548
2024-11-29,-0.6604887895102654
2024-12-31,-0.6605774301780375
2025-01-31,-0.6606426503405903
2025-02-28,-0.6606906381289308
2025-03-31,-0.6607259466553079
2025-04-30,-0.6607519260154333
2025-05-30,-0.6607710411477195
2025-06-30,-0.6607851057082226
2025-07-31,-0.660795454151497
2025-08-29,-0.6608030683445022
2025-09-30,-0.660808670726772
2025-10-31,-0.6608127928559424
2025-11-28,-0.6608158258422829
2025-12-31,-0.6608180574574898
